barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,neighborhoodName2,neighborhoodWikidata,neighborhoodWikidata2,districtId,districtName2,districtWikidata,districtWikidata2,districtName,postCode,latitude,longitude,location,cityName,cityName2,cityWikidata,cityWikidata2
﻿99400533969,Restaurant Maná 75,Cocteleries|Xampanyeries|Restaurants,PASSEIG,JOAN BORBÓ COMTE BARCELONA,101,3,La Barceloneta,La Barceloneta,Q377070,https://www.wikidata.org/wiki/Q377070,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8039,41.37133,2.18762,"41.37133,2.18762",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400533974,Restaurant Nº 30,Cocteleries|Xampanyeries|Restaurants,PASSEIG,JOAN BORBÓ COMTE BARCELONA,30,3,La Barceloneta,La Barceloneta,Q377070,https://www.wikidata.org/wiki/Q377070,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.37904,2.18804,"41.37904,2.18804",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿283174133,Bar La Confiteria,Bars I Pubs Musicals|Cocteleries|Xampanyeries,,SANT PAU,128,1,El Raval,El Raval,Q1758503,https://www.wikidata.org/wiki/Q1758503,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8001,41.37551,2.16794,"41.37551,2.16794",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400698842,Cocteleria Monk,Cocteleries|Xampanyeries,CARRER,DELS ABAIXADORS,6,4,"Sant Pere, Santa Caterina I La Ribera",Sant Pere,Q3826875,https://www.wikidata.org/wiki/Q3826875,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38310,2.18119,"41.38310,2.18119",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400594206,Restaurant Saraya Shisha Club,Cocteleries|Xampanyeries|Restaurants,CARRER,MUNTANER,102,8,L'antiga Esquerra De L'eixample,L'Antiga Esquerra de l'Eixample,Q3291762,https://www.wikidata.org/wiki/Q3291762,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8036,41.38868,2.15691,"41.38868,2.15691",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400574272,Restaurant Cocteleria Barítimo *maremàgnum,Cocteleries|Xampanyeries|Restaurants,,MOLL ESPANYA,5,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8039,41.37545,2.18239,"41.37545,2.18239",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿325120406,Atlàntic Bar,Bars I Pubs Musicals,AVINGUDA,TIBIDABO,56,25,Sant Gervasi - La Bonanova,Sant Gervasi-la Bonanova,Q3321657,https://www.wikidata.org/wiki/Q3321657,5,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,Sarrià-sant Gervasi,8035,41.41536,2.13161,"41.41536,2.13161",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿92086025238,Bar Musical Abanico,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,CAMP,3,26,Sant Gervasi - Galvany,Sant Gervasi-Galvany,Q3389521,https://www.wikidata.org/wiki/Q3389521,5,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,Sarrià-sant Gervasi,8021,41.40162,2.13817,"41.40162,2.13817",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99088120250,Discoteca La Terrrazza *poble Espanyol,Discoteques,AVINGUDA,FRANCESC FERRER GUÀRDIA,13,11,El Poble-sec,El Poble-sec,Q980253,https://www.wikidata.org/wiki/Q980253,3,Sants-Montjuïc,Q753075,https://www.wikidata.org/wiki/Q753075,Sants-Montjuïc,8038,41.36914,2.14674,"41.36914,2.14674",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990174460,Sala Plataforma,Bars I Pubs Musicals|Discoteques,CARRER,NOU DE LA RAMBLA,145,11,El Poble-sec,El Poble-sec,Q980253,https://www.wikidata.org/wiki/Q980253,3,Sants-Montjuïc,Q753075,https://www.wikidata.org/wiki/Q753075,Sants-Montjuïc,8004,41.37292,2.16800,"41.37292,2.16800",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990210498,Bar Musical Marley,Bars I Pubs Musicals,CARRER,JOAN TORRAS,25,60,Sant Andreu,Sant Andreu,Q1650230,https://www.wikidata.org/wiki/Q1650230,9,Sant Andreu,Q1650230,https://www.wikidata.org/wiki/Q1650230,Sant Andreu,8030,41.43784,2.19169,"41.43784,2.19169",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400152408,Salsongu,Discoteques,,PTGE UTSET,11,6,La Sagrada Família,Sagrada Família,Q2470217,https://www.wikidata.org/wiki/Q2470217,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8013,41.40449,2.17791,"41.40449,2.17791",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990102529,Discoteca Performance Con Atxé,Discoteques,CARRER,PROVENÇA,43,9,La Nova Esquerra De L'eixample,La Nova Esquerra de l'Eixample,Q1026658,https://www.wikidata.org/wiki/Q1026658,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8029,41.38423,2.14717,"41.38423,2.14717",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400384119,Bar Treze,Cocteleries|Xampanyeries,CARRER,MAJOR DE SARRIÀ,115,23,Sarrià,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,5,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,Sarrià-sant Gervasi,8017,41.40056,2.12077,"41.40056,2.12077",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990053121,Club Sauvage,Bars I Pubs Musicals|Discoteques,PLAÇA,REIAL,7,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.38057,2.17519,"41.38057,2.17519",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿1033142110,Cerveseria Antibiòtic,Bars I Pubs Musicals,,ROCAFORT,225,9,La Nova Esquerra De L'eixample,La Nova Esquerra de l'Eixample,Q1026658,https://www.wikidata.org/wiki/Q1026658,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8029,41.38450,2.14627,"41.38450,2.14627",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿75990118547,Cocteleria Gimlet,Cocteleries|Xampanyeries,CARRER,SANTALÓ,46,26,Sant Gervasi - Galvany,Sant Gervasi-Galvany,Q3389521,https://www.wikidata.org/wiki/Q3389521,5,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,Sarrià-sant Gervasi,8021,41.39612,2.14538,"41.39612,2.14538",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿92274113445,Bar Musical Aire - Sala Diana,Bars I Pubs Musicals,,VALÈNCIA,236,8,L'antiga Esquerra De L'eixample,L'Antiga Esquerra de l'Eixample,Q3291762,https://www.wikidata.org/wiki/Q3291762,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8007,41.39036,2.16038,"41.39036,2.16038",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400621096,Discoteca Ku Barcelona,Discoteques|Restaurants,PASSEIG,MARÍTIM DE LA BARCELONETA - ORIOL BOHIGAS,38,3,La Barceloneta,La Barceloneta,Q377070,https://www.wikidata.org/wiki/Q377070,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8003,41.38346,2.19523,"41.38346,2.19523",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400709288,Cocteleria Two Schmucks,Cocteleries|Xampanyeries,CARRER,JOAQUÍN COSTA,52,1,El Raval,El Raval,Q1758503,https://www.wikidata.org/wiki/Q1758503,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8001,41.38316,2.16520,"41.38316,2.16520",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400707531,Bar Soda Bus & Verne,Cocteleries|Xampanyeries|Restaurants,CARRER,D'ARIBAU,150,8,L'antiga Esquerra De L'eixample,L'Antiga Esquerra de l'Eixample,Q3291762,https://www.wikidata.org/wiki/Q3291762,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8036,41.39207,2.15465,"41.39207,2.15465",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400191214,Jamming Lounge,Bars I Pubs Musicals,CARRER,VALLFOGONA,23,31,La Vila De Gràcia,Vila de Gràcia,Q2741611,https://www.wikidata.org/wiki/Q2741611,6,Gràcia,Q852697,https://www.wikidata.org/wiki/Q852697,Gràcia,8012,41.40355,2.15797,"41.40355,2.15797",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400628372,Bar Musical Acústic Sant Andreu,Bars I Pubs Musicals,,RIER SANT ANDREU,9,60,Sant Andreu,Sant Andreu,Q1650230,https://www.wikidata.org/wiki/Q1650230,9,Sant Andreu,Q1650230,https://www.wikidata.org/wiki/Q1650230,Sant Andreu,8030,41.43384,2.18874,"41.43384,2.18874",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
